ScanID,QRType,MachineID,MachineName,TechID,TechName,ScanDateTime,LinkedWOID,Action,CellID
SC-000064,Technician QR,,,TECH-02,Suresh Babu,2024-10-25T08:04:00,,Open My PM List,
SC-000065,Technician QR,,,TECH-07,Ramesh Chandran,2024-10-25T10:17:00,,Open My PM List,
SC-000066,Technician QR,,,TECH-09,Sathish Kumar,2024-10-25T11:56:00,,Open My PM List,
SC-000067,Technician QR,,,TECH-06,Deepak Nair,2024-10-25T17:39:00,,Open My PM List,
SC-000068,Technician QR,,,TECH-10,Naveen Raj,2024-10-26T07:14:00,,Open My PM List,
SC-000069,Technician QR,,,TECH-08,Karthik V,2024-10-26T11:43:00,,Open My PM List,
SC-000070,Technician QR,,,TECH-02,Suresh Babu,2024-10-27T07:11:00,,Open My PM List,
SC-000071,Technician QR,,,TECH-10,Naveen Raj,2024-10-27T13:18:00,,Open My PM List,
SC-000072,Technician QR,,,TECH-07,Ramesh Chandran,2024-10-28T11:27:00,,Open My PM List,
SC-000073,Technician QR,,,TECH-08,Karthik V,2024-10-28T12:49:00,,Open My PM List,
SC-000074,Machine QR,MC-025,Curing Oven CO-01,TECH-05,Prakash R,2024-10-28T12:52:00,,Report Breakdown,CELL-06
SC-000075,Technician QR,,,TECH-10,Naveen Raj,2024-10-28T18:35:00,,Open My PM List,
SC-000076,Machine QR,MC-025,Curing Oven CO-01,TECH-09,Sathish Kumar,2024-10-28T19:51:00,,View Last PM,CELL-06
SC-000077,Technician QR,,,TECH-06,Deepak Nair,2024-10-28T21:38:00,,Open My PM List,
SC-000078,Technician QR,,,TECH-05,Prakash R,2024-10-29T06:02:00,,Open My PM List,
SC-000079,Technician QR,,,TECH-05,Prakash R,2024-10-29T06:07:00,,Open My PM List,
SC-000080,Technician QR,,,TECH-05,Prakash R,2024-10-29T08:53:00,,Open My PM List,
SC-000081,Technician QR,,,TECH-07,Ramesh Chandran,2024-10-30T17:30:00,,Open My PM List,
SC-000082,Technician QR,,,TECH-09,Sathish Kumar,2024-10-30T20:19:00,,Open My PM List,
SC-000083,Technician QR,,,TECH-03,Mohammed Rafi,2024-10-31T16:04:00,,Open My PM List,
SC-000084,Machine QR,MC-013,Deburring Unit DB-01,TECH-01,Arun Kumar,2024-10-31T17:46:00,,Request Spare,CELL-03
SC-000085,Technician QR,,,TECH-02,Suresh Babu,2024-10-31T18:56:00,,Open My PM List,
SC-000086,Machine QR,MC-018,HT Compressor AC-01,TECH-10,Naveen Raj,2024-11-01T17:02:00,,View Last PM,CELL-04
SC-000087,Machine QR,MC-025,Curing Oven CO-01,TECH-03,Mohammed Rafi,2024-11-01T18:29:00,,View Last PM,CELL-06
SC-000088,Technician QR,,,TECH-08,Karthik V,2024-11-01T20:07:00,,Open My PM List,
SC-000089,Machine QR,MC-032,Hyd Press HP-02,TECH-08,Karthik V,2024-11-02T19:26:00,,View Last PM,CELL-08
SC-000090,Machine QR,MC-012,Gear Shaver GS-01,TECH-05,Prakash R,2024-11-03T06:19:00,,View Last PM,CELL-03
SC-000091,Technician QR,,,TECH-08,Karthik V,2024-11-03T11:55:00,,Open My PM List,
SC-000092,Technician QR,,,TECH-03,Mohammed Rafi,2024-11-03T16:29:00,,Open My PM List,
SC-000093,Technician QR,,,TECH-09,Sathish Kumar,2024-11-03T16:47:00,,Open My PM List,
SC-000094,Technician QR,,,TECH-06,Deepak Nair,2024-11-04T08:21:00,,Open My PM List,
SC-000095,Machine QR,MC-024,Paint Booth PB-01,TECH-07,Ramesh Chandran,2024-11-04T12:17:00,,View Last PM,CELL-06
SC-000096,Machine QR,MC-012,Gear Shaver GS-01,TECH-01,Arun Kumar,2024-11-04T13:42:00,WO-00094,Start PM Checklist,CELL-03
SC-000097,Machine QR,MC-014,Sealed Quench SQ-01,TECH-05,Prakash R,2024-11-05T10:28:00,WO-00120,Start PM Checklist,CELL-04
SC-000098,Technician QR,,,TECH-02,Suresh Babu,2024-11-05T13:08:00,,Open My PM List,
SC-000099,Technician QR,,,TECH-03,Mohammed Rafi,2024-11-05T19:25:00,,Open My PM List,
SC-000100,Machine QR,MC-003,CNC Lathe TL-03,TECH-10,Naveen Raj,2024-11-06T20:02:00,,Record Spare Replaced,CELL-01
SC-000101,Technician QR,,,TECH-04,Vignesh S,2024-11-07T07:25:00,,Open My PM List,
SC-000102,Machine QR,MC-006,CNC Lathe TL-04,TECH-07,Ramesh Chandran,2024-11-07T18:45:00,,Log Abnormality,CELL-02
SC-000103,Machine QR,MC-005,Chip Conveyor CC-01,TECH-06,Deepak Nair,2024-11-07T18:58:00,,Log Abnormality,CELL-01
SC-000104,Technician QR,,,TECH-09,Sathish Kumar,2024-11-08T12:18:00,,Open My PM List,
SC-000105,Machine QR,MC-019,Assembly Stn AS-01,TECH-10,Naveen Raj,2024-11-08T17:46:00,WO-00185,Start PM Checklist,CELL-05
SC-000106,Technician QR,,,TECH-06,Deepak Nair,2024-11-09T08:29:00,,Open My PM List,
SC-000107,Machine QR,MC-004,Bar Feeder BF-01,TECH-04,Vignesh S,2024-11-09T12:34:00,,View Last PM,CELL-01
SC-000108,Technician QR,,,TECH-05,Prakash R,2024-11-09T21:25:00,,Open My PM List,
SC-000109,Technician QR,,,TECH-09,Sathish Kumar,2024-11-10T12:04:00,,Open My PM List,
SC-000110,Machine QR,MC-015,Sealed Quench SQ-02,TECH-02,Suresh Babu,2024-11-11T10:07:00,WO-00121,Start PM Checklist,CELL-04
SC-000111,Technician QR,,,TECH-05,Prakash R,2024-11-11T22:21:00,,Open My PM List,
SC-000112,Machine QR,MC-003,CNC Lathe TL-03,TECH-03,Mohammed Rafi,2024-11-12T14:59:00,,View Last PM,CELL-01
SC-000113,Technician QR,,,TECH-10,Naveen Raj,2024-11-13T06:53:00,,Open My PM List,
SC-000114,Machine QR,MC-026,Paint Chiller CH-02,TECH-10,Naveen Raj,2024-11-13T07:13:00,,View Last PM,CELL-06
SC-000115,Machine QR,MC-002,CNC Lathe TL-02,TECH-10,Naveen Raj,2024-11-13T09:07:00,,Report Breakdown,CELL-01
SC-000116,Machine QR,MC-020,Assembly Stn AS-02,TECH-10,Naveen Raj,2024-11-13T14:57:00,WO-00186,Start PM Checklist,CELL-05
SC-000117,Technician QR,,,TECH-10,Naveen Raj,2024-11-14T06:19:00,,Open My PM List,
SC-000118,Machine QR,MC-023,Assy Conveyor CV-01,TECH-05,Prakash R,2024-11-14T15:46:00,,View Last PM,CELL-05
SC-000119,Machine QR,MC-028,Robot Weld Cell RW-02,TECH-04,Vignesh S,2024-11-15T07:48:00,,Log Abnormality,CELL-07
SC-000120,Machine QR,MC-007,CNC Lathe TL-05,TECH-03,Mohammed Rafi,2024-11-15T08:18:00,,View Last PM,CELL-02
SC-000121,Technician QR,,,TECH-06,Deepak Nair,2024-11-15T13:22:00,,Open My PM List,
SC-000122,Technician QR,,,TECH-03,Mohammed Rafi,2024-11-16T06:19:00,,Open My PM List,
SC-000123,Technician QR,,,TECH-04,Vignesh S,2024-11-16T08:33:00,,Open My PM List,
SC-000124,Technician QR,,,TECH-07,Ramesh Chandran,2024-11-16T16:34:00,,Open My PM List,
SC-000125,Machine QR,MC-006,CNC Lathe TL-04,TECH-02,Suresh Babu,2024-11-17T08:46:00,,View Last PM,CELL-02
SC-000126,Machine QR,MC-030,Weld Compressor AC-02,TECH-06,Deepak Nair,2024-11-17T11:15:00,,Log Abnormality,CELL-07
SC-000127,Machine QR,MC-018,HT Compressor AC-01,TECH-04,Vignesh S,2024-11-18T17:36:00,,Log Abnormality,CELL-04
SC-000128,Technician QR,,,TECH-03,Mohammed Rafi,2024-11-18T21:27:00,,Open My PM List,
SC-000129,Machine QR,MC-023,Assy Conveyor CV-01,TECH-10,Naveen Raj,2024-11-19T17:20:00,,View Last PM,CELL-05
SC-000130,Machine QR,MC-023,Assy Conveyor CV-01,TECH-04,Vignesh S,2024-11-19T22:18:00,,View Last PM,CELL-05
SC-000131,Machine QR,MC-024,Paint Booth PB-01,TECH-01,Arun Kumar,2024-11-20T10:16:00,,Log Abnormality,CELL-06
SC-000132,Technician QR,,,TECH-04,Vignesh S,2024-11-20T13:02:00,,Open My PM List,
SC-000133,Machine QR,MC-022,Leak Test Rig LT-01,TECH-10,Naveen Raj,2024-11-20T14:55:00,WO-00188,Start PM Checklist,CELL-05
SC-000134,Technician QR,,,TECH-03,Mohammed Rafi,2024-11-21T08:06:00,,Open My PM List,
SC-000135,Technician QR,,,TECH-06,Deepak Nair,2024-11-21T09:42:00,,Open My PM List,
SC-000136,Technician QR,,,TECH-04,Vignesh S,2024-11-21T11:09:00,,Open My PM List,
SC-000137,Technician QR,,,TECH-07,Ramesh Chandran,2024-11-21T20:47:00,,Open My PM List,
SC-000138,Machine QR,MC-029,Positioner PZ-01,TECH-01,Arun Kumar,2024-11-22T08:55:00,,Report Breakdown,CELL-07
SC-000139,Technician QR,,,TECH-02,Suresh Babu,2024-11-22T17:55:00,,Open My PM List,
SC-000140,Technician QR,,,TECH-09,Sathish Kumar,2024-11-22T20:27:00,,Open My PM List,
SC-000141,Technician QR,,,TECH-04,Vignesh S,2024-11-23T07:36:00,,Open My PM List,
SC-000142,Technician QR,,,TECH-07,Ramesh Chandran,2024-11-23T19:42:00,,Open My PM List,
SC-000143,Machine QR,MC-023,Assy Conveyor CV-01,TECH-10,Naveen Raj,2024-11-24T09:17:00,WO-00189,Start PM Checklist,CELL-05
SC-000144,Machine QR,MC-010,Gear Hobber GH-01,TECH-07,Ramesh Chandran,2024-11-24T13:02:00,,View Last PM,CELL-03
SC-000145,Machine QR,MC-005,Chip Conveyor CC-01,TECH-02,Suresh Babu,2024-11-25T06:30:00,,Report Breakdown,CELL-01
SC-000146,Technician QR,,,TECH-01,Arun Kumar,2024-11-25T18:02:00,,Open My PM List,
SC-000147,Technician QR,,,TECH-03,Mohammed Rafi,2024-11-25T22:31:00,,Open My PM List,
SC-000148,Technician QR,,,TECH-10,Naveen Raj,2024-11-26T21:43:00,,Open My PM List,
SC-000149,Technician QR,,,TECH-03,Mohammed Rafi,2024-11-27T11:39:00,,Open My PM List,
SC-000150,Machine QR,MC-020,Assembly Stn AS-02,TECH-05,Prakash R,2024-11-27T17:56:00,,View Last PM,CELL-05
SC-000151,Machine QR,MC-019,Assembly Stn AS-01,TECH-09,Sathish Kumar,2024-11-28T11:19:00,,Report Breakdown,CELL-05
SC-000152,Machine QR,MC-009,VMC MC-02,TECH-07,Ramesh Chandran,2024-11-29T08:35:00,,View Last PM,CELL-02
SC-000153,Technician QR,,,TECH-05,Prakash R,2024-11-30T06:10:00,,Open My PM List,
SC-000154,Technician QR,,,TECH-05,Prakash R,2024-11-30T16:01:00,,Open My PM List,
SC-000155,Machine QR,MC-030,Weld Compressor AC-02,TECH-05,Prakash R,2024-12-01T11:00:00,,View Last PM,CELL-07
SC-000156,Machine QR,MC-031,Hyd Press HP-01,TECH-08,Karthik V,2024-12-01T11:15:00,,View Last PM,CELL-08
SC-000157,Machine QR,MC-003,CNC Lathe TL-03,TECH-01,Arun Kumar,2024-12-01T13:44:00,,Request Spare,CELL-01
SC-000158,Machine QR,MC-009,VMC MC-02,TECH-09,Sathish Kumar,2024-12-01T15:03:00,,Log Abnormality,CELL-02
SC-000159,Machine QR,MC-017,Quench Oil Chiller CH-01,TECH-05,Prakash R,2024-12-02T12:15:00,WO-00123,Start PM Checklist,CELL-04
SC-000160,Technician QR,,,TECH-07,Ramesh Chandran,2024-12-03T07:34:00,,Open My PM List,
SC-000161,Technician QR,,,TECH-08,Karthik V,2024-12-03T11:22:00,,Open My PM List,
SC-000162,Technician QR,,,TECH-01,Arun Kumar,2024-12-03T11:46:00,,Open My PM List,
SC-000163,Machine QR,MC-030,Weld Compressor AC-02,TECH-08,Karthik V,2024-12-04T07:22:00,,View Last PM,CELL-07
SC-000164,Machine QR,MC-007,CNC Lathe TL-05,TECH-07,Ramesh Chandran,2024-12-04T13:55:00,,Log Abnormality,CELL-02
SC-000165,Technician QR,,,TECH-04,Vignesh S,2024-12-04T22:28:00,,Open My PM List,
SC-000166,Machine QR,MC-002,CNC Lathe TL-02,TECH-04,Vignesh S,2024-12-05T08:55:00,,View Last PM,CELL-01
SC-000167,Machine QR,MC-021,Assembly Stn AS-03,TECH-10,Naveen Raj,2024-12-06T13:32:00,WO-00187,Start PM Checklist,CELL-05
SC-000168,Technician QR,,,TECH-10,Naveen Raj,2024-12-06T16:06:00,,Open My PM List,
SC-000169,Technician QR,,,TECH-02,Suresh Babu,2024-12-07T10:09:00,,Open My PM List,
SC-000170,Machine QR,MC-009,VMC MC-02,TECH-05,Prakash R,2024-12-07T13:37:00,,Report Breakdown,CELL-02
SC-000171,Technician QR,,,TECH-06,Deepak Nair,2024-12-07T17:36:00,,Open My PM List,
SC-000172,Technician QR,,,TECH-02,Suresh Babu,2024-12-08T08:33:00,,Open My PM List,
SC-000173,Technician QR,,,TECH-02,Suresh Babu,2024-12-08T16:08:00,,Open My PM List,
SC-000174,Technician QR,,,TECH-04,Vignesh S,2024-12-08T17:33:00,,Open My PM List,
SC-000175,Technician QR,,,TECH-05,Prakash R,2024-12-08T18:40:00,,Open My PM List,
SC-000176,Machine QR,MC-017,Quench Oil Chiller CH-01,TECH-08,Karthik V,2024-12-09T09:27:00,,View Last PM,CELL-04
SC-000177,Technician QR,,,TECH-03,Mohammed Rafi,2024-12-09T16:29:00,,Open My PM List,
SC-000178,Technician QR,,,TECH-01,Arun Kumar,2024-12-11T18:58:00,,Open My PM List,
SC-000179,Technician QR,,,TECH-09,Sathish Kumar,2024-12-11T22:19:00,,Open My PM List,
SC-000180,Technician QR,,,TECH-01,Arun Kumar,2024-12-12T07:45:00,,Open My PM List,
SC-000181,Technician QR,,,TECH-05,Prakash R,2024-12-12T12:36:00,,Open My PM List,
SC-000182,Technician QR,,,TECH-06,Deepak Nair,2024-12-12T13:10:00,,Open My PM List,
SC-000183,Technician QR,,,TECH-01,Arun Kumar,2024-12-13T14:35:00,,Open My PM List,
SC-000184,Technician QR,,,TECH-01,Arun Kumar,2024-12-13T16:59:00,,Open My PM List,
SC-000185,Technician QR,,,TECH-05,Prakash R,2024-12-13T20:37:00,,Open My PM List,
SC-000186,Machine QR,MC-018,HT Compressor AC-01,TECH-02,Suresh Babu,2024-12-14T19:43:00,,Log Abnormality,CELL-04
SC-000187,Technician QR,,,TECH-08,Karthik V,2024-12-14T20:31:00,,Open My PM List,
SC-000188,Technician QR,,,TECH-06,Deepak Nair,2024-12-15T06:59:00,,Open My PM List,
SC-000189,Machine QR,MC-003,CNC Lathe TL-03,TECH-08,Karthik V,2024-12-15T11:43:00,,Record Spare Replaced,CELL-01
SC-000190,Technician QR,,,TECH-01,Arun Kumar,2024-12-15T14:02:00,,Open My PM List,
SC-000191,Technician QR,,,TECH-06,Deepak Nair,2024-12-15T17:21:00,,Open My PM List,
SC-000192,Technician QR,,,TECH-01,Arun Kumar,2024-12-16T07:35:00,,Open My PM List,
SC-000193,Technician QR,,,TECH-05,Prakash R,2024-12-16T09:59:00,,Open My PM List,
SC-000194,Technician QR,,,TECH-08,Karthik V,2024-12-16T11:36:00,,Open My PM List,
SC-000195,Technician QR,,,TECH-03,Mohammed Rafi,2024-12-16T18:30:00,,Open My PM List,
SC-000196,Technician QR,,,TECH-09,Sathish Kumar,2024-12-17T10:06:00,,Open My PM List,
SC-000197,Technician QR,,,TECH-01,Arun Kumar,2024-12-17T18:58:00,,Open My PM List,
SC-000198,Machine QR,MC-033,Press Feeder PF-01,TECH-03,Mohammed Rafi,2024-12-17T19:52:00,,View Last PM,CELL-08
SC-000199,Machine QR,MC-026,Paint Chiller CH-02,TECH-04,Vignesh S,2024-12-17T22:21:00,,Record Spare Replaced,CELL-06
SC-000200,Machine QR,MC-033,Press Feeder PF-01,TECH-02,Suresh Babu,2024-12-18T07:59:00,,Record Spare Replaced,CELL-08
SC-000201,Machine QR,MC-022,Leak Test Rig LT-01,TECH-08,Karthik V,2024-12-18T12:44:00,,Log Abnormality,CELL-05
SC-000202,Technician QR,,,TECH-02,Suresh Babu,2024-12-18T16:55:00,,Open My PM List,
SC-000203,Machine QR,MC-010,Gear Hobber GH-01,TECH-02,Suresh Babu,2024-12-18T22:06:00,,View Last PM,CELL-03
SC-000204,Machine QR,MC-003,CNC Lathe TL-03,TECH-03,Mohammed Rafi,2024-12-18T22:10:00,,View Last PM,CELL-01
SC-000205,Machine QR,MC-003,CNC Lathe TL-03,TECH-08,Karthik V,2024-12-19T06:11:00,,View Last PM,CELL-01
SC-000206,Technician QR,,,TECH-02,Suresh Babu,2024-12-19T17:15:00,,Open My PM List,
SC-000207,Machine QR,MC-008,VMC MC-01,TECH-07,Ramesh Chandran,2024-12-20T09:07:00,,View Last PM,CELL-02
SC-000208,Machine QR,MC-027,Robot Weld Cell RW-01,TECH-06,Deepak Nair,2024-12-20T10:51:00,,Record Spare Replaced,CELL-07
SC-000209,Technician QR,,,TECH-06,Deepak Nair,2024-12-21T16:30:00,,Open My PM List,
SC-000210,Machine QR,MC-025,Curing Oven CO-01,TECH-06,Deepak Nair,2024-12-21T18:11:00,,Request Spare,CELL-06
SC-000211,Machine QR,MC-011,Gear Hobber GH-02,TECH-06,Deepak Nair,2024-12-21T18:15:00,,Log Abnormality,CELL-03
SC-000212,Machine QR,MC-030,Weld Compressor AC-02,TECH-06,Deepak Nair,2024-12-22T16:39:00,,View Last PM,CELL-07
SC-000213,Technician QR,,,TECH-03,Mohammed Rafi,2024-12-22T17:36:00,,Open My PM List,
SC-000214,Machine QR,MC-022,Leak Test Rig LT-01,TECH-03,Mohammed Rafi,2024-12-22T19:09:00,,Request Spare,CELL-05
SC-000215,Machine QR,MC-005,Chip Conveyor CC-01,TECH-10,Naveen Raj,2024-12-22T20:48:00,,View Last PM,CELL-01
SC-000216,Machine QR,MC-003,CNC Lathe TL-03,TECH-06,Deepak Nair,2024-12-23T15:32:00,,Record Spare Replaced,CELL-01
SC-000217,Technician QR,,,TECH-10,Naveen Raj,2024-12-23T19:55:00,,Open My PM List,
SC-000218,Technician QR,,,TECH-02,Suresh Babu,2024-12-24T18:54:00,,Open My PM List,
SC-000219,Technician QR,,,TECH-01,Arun Kumar,2024-12-24T21:27:00,,Open My PM List,
SC-000220,Technician QR,,,TECH-05,Prakash R,2024-12-25T22:12:00,,Open My PM List,
SC-000221,Technician QR,,,TECH-01,Arun Kumar,2024-12-26T09:22:00,,Open My PM List,
SC-000222,Machine QR,MC-028,Robot Weld Cell RW-02,TECH-05,Prakash R,2024-12-26T16:39:00,,View Last PM,CELL-07
SC-000223,Machine QR,MC-020,Assembly Stn AS-02,TECH-09,Sathish Kumar,2024-12-27T10:35:00,,Log Abnormality,CELL-05
SC-000224,Technician QR,,,TECH-10,Naveen Raj,2024-12-28T08:03:00,,Open My PM List,
SC-000225,Machine QR,MC-001,CNC Lathe TL-01,TECH-06,Deepak Nair,2024-12-28T21:37:00,,View Last PM,CELL-01
SC-000226,Technician QR,,,TECH-08,Karthik V,2024-12-29T13:05:00,,Open My PM List,
SC-000227,Machine QR,MC-007,CNC Lathe TL-05,TECH-03,Mohammed Rafi,2024-12-29T18:30:00,,Record Spare Replaced,CELL-02
SC-000228,Machine QR,MC-002,CNC Lathe TL-02,TECH-06,Deepak Nair,2024-12-30T14:15:00,,View Last PM,CELL-01
SC-000229,Technician QR,,,TECH-10,Naveen Raj,2024-12-30T14:51:00,,Open My PM List,
SC-000230,Technician QR,,,TECH-03,Mohammed Rafi,2024-12-31T06:06:00,,Open My PM List,
SC-000231,Technician QR,,,TECH-06,Deepak Nair,2024-12-31T06:49:00,,Open My PM List,
SC-000232,Technician QR,,,TECH-06,Deepak Nair,2024-12-31T09:46:00,,Open My PM List,
SC-000233,Technician QR,,,TECH-05,Prakash R,2024-12-31T12:48:00,,Open My PM List,
